Serial_Number,Model,capacity_bytes,date,failure,Prediction,Confidence_Level,Active_Probability,Failure_Probability
4589K0VHFMYB,TOSHIBA MD04ABA400V,4000787030016,2023-03-26,Active,Active,1.5435020027249928,0.9563534785727076,0.04364652142729242
4581K0G1FMYB,TOSHIBA MD04ABA400V,4000787030016,2023-03-26,Active,Active,1.5435020027249928,0.9563534785727076,0.04364652142729242
Z4D0C5B5,ST6000DX000,6001175126016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
Z4D084Q2,ST6000DX000,6001175126016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
Z4D02N1D,ST6000DX000,6001175126016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
Z4D0AHZR,ST6000DX000,6001175126016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
Z4D07BBG,ST6000DX000,6001175126016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
Z4D04AKM,ST6000DX000,6001175126016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
Z4D030Q1,ST6000DX000,6001175126016,2023-03-26,Active,Active,1.5435020027249935,0.9563534785727076,0.04364652142729242
Z4D07HNT,ST6000DX000,6001175126016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
Z4D0483G,ST6000DX000,6001175126016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
Z4D0ACLA,ST6000DX000,6001175126016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
Z4D0A4PZ,ST6000DX000,6001175126016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
Z4D082ZR,ST6000DX000,6001175126016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
ZA1HA7ZD,ST8000NM0055,8001563222016,2023-03-23,fail,Predicted_to_be_fail,-1.5435020027249846,0.04364652142729309,0.9563534785727069
S300Z6BT,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249935,0.9563534785727076,0.04364652142729242
S300Z56B,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249935,0.9563534785727076,0.04364652142729242
S300Z0S4,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249935,0.9563534785727076,0.04364652142729242
S300VKNA,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
S300Z75F,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249935,0.9563534785727076,0.04364652142729242
Z3029F1D,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
W300R7H2,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
S300ZRA6,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
S300VL8K,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249935,0.9563534785727076,0.04364652142729242
S300VLDG,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249935,0.9563534785727076,0.04364652142729242
S300Z5ZB,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249935,0.9563534785727076,0.04364652142729242
S300YPZ0,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
S300ZQGM,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
S300Z7MN,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
S300XE2G,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
Z305D2WD,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249935,0.9563534785727076,0.04364652142729242
S300Z6RY,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249935,0.9563534785727076,0.04364652142729242
S300Z4A8,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249935,0.9563534785727076,0.04364652142729242
Z302AB7N,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
S30117FL,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
Z302F11C,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249935,0.9563534785727076,0.04364652142729242
S3010WGM,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
Z302B0RL,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
S300X8ZD,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
S300VLGE,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
S300XBL6,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
Z302FC4B,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
S300Z4XS,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249924,0.9563534785727076,0.04364652142729242
S301185S,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
S3011FJT,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
Z302AKL7,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
S30115D8,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
Z302EPW1,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249935,0.9563534785727076,0.04364652142729242
Z302AKM4,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249935,0.9563534785727076,0.04364652142729242
Z302DYPH,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
S300WDTK,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249935,0.9563534785727076,0.04364652142729242
S300YGY8,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249935,0.9563534785727076,0.04364652142729242
S300Z5BS,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249935,0.9563534785727076,0.04364652142729242
Z304KR2T,ST4000DM000,4000787030016,2023-03-22,fail,Predicted_to_be_fail,-1.5435020027249846,0.04364652142729309,0.9563534785727069
S3010LCD,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
S30111FB,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249935,0.9563534785727076,0.04364652142729242
